Scientific Name,Classification,Lowest Price RON,Highest Price RON,Water Level Area,Temp C Low ,Temp C High ,Hardness dH Low,Hardness dH High,pH Low,pH High,Display Name,Budget Category,Habitat Type,Experience Level,Tank Size Category,Distribution,MacroRegion,Picture URL,Note
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.05,10.05,Mid/Top Water,20,26,10,30,7,8.2,Platy (red (platty)),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,9.95,10.05,Mid/Top Water,20,26,10,30,7,8.2,Platy (red tuxedo),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.15,10.15,Mid/Top Water,20,26,10,30,7,8.2,Platy (sunset comet),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.15,10.15,Mid/Top Water,20,26,10,30,7,8.2,Platy (mickey mouse long fin),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.15,10.15,Mid/Top Water,20,26,10,30,7,8.2,Platy (germany),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.15,10.15,Mid/Top Water,20,26,10,30,7,8.2,Platy (german simson hf),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.15,10.15,Mid/Top Water,20,26,10,30,7,8.2,Platy (wg simpson),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.15,10.15,Mid/Top Water,20,26,10,30,7,8.2,Platy (moskva),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.15,10.15,Mid/Top Water,20,26,10,30,7,8.2,Platy (simpson),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.05,10.15,Mid/Top Water,20,26,10,30,7,8.2,Platy (red wagteil),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
