Scientific Name,Habitat
Rasbora borapetensis,Ponds
Danio malabaricus,Rivers
Danio malabaricus,Streams
Danio devario,Rivers
Danio devario,Streams
Puntius rohani,Rivers
Puntius rohani,Streams
Puntius rhomboocellatus,Streams
Puntius rhomboocellatus,Swamp
Eirmotus octozona,Streams
Eirmotus octozona,Lakes
Eirmotus octozona,Flooded Areas
Eirmotus octozona,Swamp
Puntius conchonius,Rivers
Puntius conchonius,Streams
Puntius conchonius,Ponds
Puntius conchonius,Lakes
Puntius conchonius,Swamp
Barbus mahecola,Rivers
Barbus mahecola,Lakes
Barbus fasciolatus ,Lakes
Barbus fasciolatus ,Swamp
Barbus fasciolatus ,Rivers
Barbus fasciolatus ,Streams
Puntius denisonii,Rivers
Puntius denisonii,Streams
Puntius conchonius ,Rivers
Puntius conchonius ,Streams
Puntius conchonius ,Ponds
Puntius conchonius ,Lakes
Puntius conchonius ,Swamp
Puntius nigrofasciatus,Rivers
Puntius nigrofasciatus,Streams
Brachydanio frankei,Rivers
Brachydanio frankei,Streams
Brachydanio frankei,Pools
Brachydanio frankei,Flooded Areas
Pethia padamya,Rivers
Pethia padamya,Streams
Trigonostigma hengeli,Streams
Brachydanio albolineatus,Rivers
Brachydanio albolineatus,Streams
Brachydanio albolineatus,Pools
Brachydanio albolineatus,Ponds
Brachydanio albolineatus,Flooded Areas
Boraras urophthalmoides,Swamp
Boraras urophthalmoides,Flooded Areas
Danio margaritatus,Flooded Areas
Danio margaritatus,Pools
Tanichthys micagemmae,Rivers
Tanichthys micagemmae,Streams
Barbus pentazona,Swamp
Barbus pentazona,Flooded Areas
Celestichthys erythromicron,Lakes
Celestichthys erythromicron,Flooded Areas
Brachydanio rerio,Rivers
Brachydanio rerio,Streams
Brachydanio rerio,Pools
Brachydanio rerio,Flooded Areas
Boraras merah,Rivers
Boraras merah,Streams
Boraras merah,Swamp
Boraras maculatus,Rivers
Boraras maculatus,Streams
Boraras maculatus,Swamp
Neomacheilus corica,Rivers
Neomacheilus corica,Streams
Barbus everetti,Streams
Parambassis ranga,Streams
Parambassis ranga,Pools
Parambassis ranga,Ponds
Parambassis ranga,Lakes
Parambassis ranga,Swamp
Parambassis ranga,Brackish
Barbodes semifasciolatus,Streams
Barbodes semifasciolatus,Swamp
Barbodes semifasciolatus,Canals
Barbus melanampyx,Rivers
Barbus melanampyx,Streams
Barbus melanampyx,Canals
Barbus melanampyx,Ponds
Barbus melanampyx,Lakes
Danio choprai,Streams
Danio choprai,Pools
Oliotius oligolepis,Streams
