Scientific Name,Compatibility Tag
Puntius rohani,Medium-Sized Fish
Puntius rohani,Small Fish
Puntius rohani,Active Fish
Puntius rhomboocellatus,Small Fish
Puntius rhomboocellatus,Medium-Sized Fish
Eirmotus octozona,Small Fish
Eirmotus octozona,Peaceful Fish
Puntius conchonius,Small Fish
Puntius conchonius,Peaceful Fish
Barbus mahecola,Small Fish
Barbus mahecola,Peaceful Fish
Barbus mahecola,Long-Finned Fish
Barbus fasciolatus,Small Fish
Barbus fasciolatus,Peaceful Fish
Puntius denisonii,Peaceful Fish
Puntius denisonii,Medium-Sized Fish
Puntius conchonius,Small Fish
Puntius conchonius,Peaceful Fish
Puntius nigrofasciatus,Small Fish
Puntius nigrofasciatus,Peaceful Fish
Puntius nigrofasciatus,Medium-Sized Fish
Brachydanio frankei,Small Fish
Brachydanio frankei,Peaceful Fish
Pethia padamya,Small Fish
Pethia padamya,Peaceful Fish
Trigonostigma hengeli,Small Fish
Trigonostigma hengeli,Peaceful Fish
Trigonostigma hengeli,Long-Finned Fish
Brachydanio albolineatus,Small Fish
Brachydanio albolineatus,Peaceful Fish
Brachydanio albolineatus,Long-Finned Fish
Brachydanio albolineatus,Medium-Sized Fish
Boraras urophthalmoides,Small Fish
Boraras urophthalmoides,Peaceful Fish
Boraras urophthalmoides,Very Small Fish
Danio margaritatus,Small Fish
Danio margaritatus,Peaceful Fish
Danio margaritatus,Very Small Fish
Tanichthys micagemmae,Small Fish
Tanichthys micagemmae,Peaceful Fish
Barbus pentazona,Small Fish
Barbus pentazona,Peaceful Fish
Celestichthys erythromicron,Small Fish
Celestichthys erythromicron,Peaceful Fish
Celestichthys erythromicron,Very Small Fish
Brachydanio rerio,Small Fish
Brachydanio rerio,Peaceful Fish
Boraras merah,Small Fish
Boraras merah,Peaceful Fish
Boraras merah,Very Small Fish
Boraras maculatus,Small Fish
Boraras maculatus,Peaceful Fish
Boraras maculatus,Long-Finned Fish
Boraras maculatus,Very Small Fish
Neomacheilus corica,Small Fish
Neomacheilus corica,Peaceful Fish
Barbus everetti,Peaceful Fish
Barbus everetti,Medium-Sized Fish
Parambassis ranga,Small Fish
Parambassis ranga,Peaceful Fish
Parambassis ranga,Medium-Sized Fish
Barbodes semifasciolatus,Small Fish
Barbodes semifasciolatus,Peaceful Fish
Barbus melanampyx,Small Fish
Barbus melanampyx,Medium-Sized Fish
Barbus melanampyx,Active Fish
Danio choprai,Small Fish
Danio choprai,Peaceful Fish
Danio choprai,Long-Finned Fish
Oliotius oligolepis,Small Fish
Oliotius oligolepis,Peaceful Fish
Corydoras aeneus,Small Fish
Corydoras aeneus,Peaceful Fish
Corydoras aeneus,Long-Finned Fish
Corydoras aeneus,Active Fish
Corydoras aeneus,Medium-Sized Fish
Epalzeorhynchos bicolor,Robust Fish
Epalzeorhynchos bicolor,Medium-Sized Fish
Ancistrus,Small Fish
Ancistrus,Peaceful Fish
Ancistrus,Long-Finned Fish
Ancistrus,Active Fish
Ancistrus,Medium-Sized Fish
Ancistrus,Medium-Large Fish
Ancistrus,Robust Fish
Ancistrus,Very Small Fish
Corydoras panda,Small Fish
Corydoras panda,Peaceful Fish
Corydoras panda,Long-Finned Fish
Corydoras panda,Very Small Fish
Corydoras paleatus,Small Fish
Corydoras paleatus,Peaceful Fish
Corydoras paleatus,Long-Finned Fish
Corydoras paleatus,Very Small Fish
Hyalobagrus flavus,Small Fish
Hyalobagrus flavus,Very Small Fish
Hyalobagrus flavus,Peaceful Fish
Hyalobagrus flavus,Long-Finned Fish
Hoplosternum thoracatum,Small Fish
Hoplosternum thoracatum,Peaceful Fish
Hoplosternum thoracatum,Active Fish
Hoplosternum thoracatum,Medium-Sized Fish
Hoplosternum thoracatum,Medium-Large Fish
Corydoras pygmaeus,Small Fish
Corydoras pygmaeus,Peaceful Fish
Corydoras pygmaeus,Very Small Fish
Epalzeorhynchos frenatum,Medium-Sized Fish
Epalzeorhynchos frenatum,Small Fish
Epalzeorhynchos frenatum,Robust Fish
Epalzeorhynchos frenatum,Active Fish
Crossocheilus latius,Small Fish
Crossocheilus latius,Peaceful Fish
Crossocheilus latius,Medium-Sized Fish
Corydoras habrosus,Small Fish
Corydoras habrosus,Peaceful Fish
Corydoras habrosus,Very Small Fish
Pangio oblonga,Small Fish
Pangio oblonga,Peaceful Fish
Pangio oblonga,Very Small Fish
Botia morleti,Active Fish
Botia morleti,Robust Fish
Botia morleti,Medium-Sized Fish
Botia histrionica,Peaceful Fish
Botia histrionica,Medium-Sized Fish
Botia striata,Peaceful Fish
Botia striata,Medium-Sized Fish
Botia lohachata,Peaceful Fish
Botia lohachata,Medium-Sized Fish
Bunocephalus,Small Fish
Bunocephalus,Peaceful Fish
Bunocephalus,Long-Finned Fish
Bunocephalus,Very Small Fish
Synodontis eupterus,Medium-Large Fish
Synodontis eupterus,Robust Fish
Synodontis eupterus,Active Fish
Epalzeorhznchus kallopterus,Small Fish
Epalzeorhznchus kallopterus,Peaceful Fish
Epalzeorhznchus kallopterus,Medium-Sized Fish
Corydoras julii,Small Fish
Corydoras julii,Peaceful Fish
Corydoras julii,Long-Finned Fish
Chandramara chandramara,Small Fish
Chandramara chandramara,Peaceful Fish
Chandramara chandramara,Very Small Fish
Crossocheilus reticulatus,Small Fish
Crossocheilus reticulatus,Peaceful Fish
Crossocheilus reticulatus,Medium-Sized Fish
Corydoras nannus,Small Fish
Corydoras nannus,Peaceful Fish
Corydoras nannus,Long-Finned Fish
Corydoras nannus,Very Small Fish
Hara jerdoni,Small Fish
Hara jerdoni,Peaceful Fish
Hara jerdoni,Very Small Fish
Hara jerdoni,Long-Finned Fish
Microsynodontis batesii,Small Fish
Microsynodontis batesii,Peaceful Fish
Hypostomus plecostomus,Medium-Large Fish
Hypostomus plecostomus,Robust Fish
Hypostomus plecostomus,Active Fish
Corydoras rabauti,Small Fish
Corydoras rabauti,Peaceful Fish
Corydoras rabauti,Long-Finned Fish
Corydoras rabauti,Medium-Sized Fish
Corydoras elegans,Small Fish
Corydoras elegans,Peaceful Fish
Corydoras elegans,Long-Finned Fish
Platydoras costatus,Medium-Sized Fish
Platydoras costatus,Medium-Large Fish
Pareutropius buffei,Small Fish
Pareutropius buffei,Peaceful Fish
Dianema longibarbis,Small Fish
Dianema longibarbis,Peaceful Fish
Dianema longibarbis,Long-Finned Fish
Dianema longibarbis,Very Small Fish
Kryptopterus bicirrhis,Small Fish
Kryptopterus bicirrhis,Peaceful Fish
Rineloricaria microlepidogaster,Small Fish
Rineloricaria microlepidogaster,Peaceful Fish
Rineloricaria microlepidogaster,Long-Finned Fish
Rineloricaria microlepidogaster,Very Small Fish
Synodontis nigriventris,Small Fish
Synodontis nigriventris,Peaceful Fish
Schistura balteata,Small Fish
Schistura balteata,Robust Fish
Schistura balteata,Active Fish
Corydoras leucomelas,Small Fish
Corydoras leucomelas,Peaceful Fish
Corydoras leucomelas,Active Fish
Corydoras leucomelas,Medium-Sized Fish
Corydoras sodalis,Small Fish
Corydoras sodalis,Peaceful Fish
Corydoras sodalis,Very Small Fish
Corydoras sodalis,Long-Finned Fish
Loricaria filamentosa,Small Fish
Loricaria filamentosa,Peaceful Fish
Loricaria filamentosa,Long-Finned Fish
Corydoras virginae,Small Fish
Corydoras virginae,Peaceful Fish
Corydoras virginae,Long-Finned Fish
Agamyxis albomaculatus,Medium-Large Fish
Corydoras punctatus,Small Fish
Corydoras punctatus,Peaceful Fish
Corydoras punctatus,Medium-Sized Fish
Corydoras sterbai,Small Fish
Corydoras sterbai,Peaceful Fish
Corydoras sterbai,Long-Finned Fish
Corydoras sterbai,Very Small Fish
Corydoras sterbai,Medium-Sized Fish
Corydoras trilineatus,Small Fish
Corydoras trilineatus,Peaceful Fish
Corydoras trilineatus,Long-Finned Fish
Corydoras trilineatus,Medium-Sized Fish
Corydoras metae,Small Fish
Corydoras metae,Peaceful Fish
Corydoras metae,Long-Finned Fish
Corydoras metae,Medium-Sized Fish
Rineloricaria lanceolata,Small Fish
Rineloricaria lanceolata,Peaceful Fish
Rineloricaria lanceolata,Long-Finned Fish
Rineloricaria lanceolata,Medium-Sized Fish
Rineloricaria lanceolata,Very Small Fish
Corydoras napoensis,Small Fish
Corydoras napoensis,Peaceful Fish
Corydoras napoensis,Long-Finned Fish
Corydoras napoensis,Very Small Fish
Corydoras napoensis,Medium-Sized Fish
Corydoras agassizii,Small Fish
Corydoras agassizii,Peaceful Fish
Corydoras agassizii,Long-Finned Fish
Corydoras agassizii,Medium-Sized Fish
Botia sidthimunki,Medium-Sized Fish
Botia sidthimunki,Active Fish
Botia sidthimunki,Robust Fish
Botia dario,Medium-Sized Fish
Botia dario,Medium-Large Fish
Botia dario,Robust Fish
Botia dario,Active Fish
Corydoras leopardus,Small Fish
Corydoras leopardus,Peaceful Fish
Corydoras leopardus,Long-Finned Fish
Corydoras leopardus,Medium-Sized Fish
Corydoras melanotaenia,Small Fish
Corydoras melanotaenia,Peaceful Fish
Corydoras melanotaenia,Long-Finned Fish
Corydoras davidsandsi,Small Fish
Corydoras davidsandsi,Peaceful Fish
Corydoras davidsandsi,Medium-Sized Fish
Corydoras davidsandsi,Long-Finned Fish
Corydoras reticulatus,Small Fish
Corydoras reticulatus,Peaceful Fish
Corydoras reticulatus,Medium-Sized Fish
Corydoras reticulatus,Long-Finned Fish
Corydoras adolfoi,Small Fish
Corydoras adolfoi,Peaceful Fish
Corydoras adolfoi,Medium-Sized Fish
Corydoras adolfoi,Long-Finned Fish
Botia kubotai,Medium-Sized Fish
Botia kubotai,Active Fish
Botia kubotai,Robust Fish
Stiphodon atropurpureus,Very Small Fish
Stiphodon atropurpureus,Small Fish
Stiphodon atropurpureus,Peaceful Fish
Brochis splendens,Small Fish
Brochis splendens,Peaceful Fish
Brochis splendens,Long-Finned Fish
Brochis splendens,Medium-Sized Fish
Corydoras melini,Small Fish
Corydoras melini,Peaceful Fish
Corydoras melini,Long-Finned Fish
Corydoras melini,Medium-Sized Fish
Corydoras barbatus,Small Fish
Corydoras barbatus,Peaceful Fish
Corydoras barbatus,Medium-Sized Fish
Corydoras barbatus,Long-Finned Fish
Corydoras duplicareus,Small Fish
Corydoras duplicareus,Peaceful Fish
Corydoras duplicareus,Long-Finned Fish
Corydoras venezuelanus,Small Fish
Corydoras venezuelanus,Peaceful Fish
Corydoras venezuelanus,Long-Finned Fish
Corydoras venezuelanus,Active Fish
Corydoras venezuelanus,Medium-Sized Fish
Trachelyichthys exilis,Small Fish
Trachelyichthys exilis,Peaceful Fish
Trachelyichthys exilis,Very Small Fish
Otocinclus cocama,Small Fish
Otocinclus cocama,Peaceful Fish
Otocinclus cocama,Very Small Fish
Peckoltia,Small Fish
Peckoltia,Peaceful Fish
Peckoltia,Medium-Sized Fish
Synodontis pardalis,Peaceful Fish
Synodontis pardalis,Medium-Sized Fish
Synodontis pardalis,Medium-Large Fish
Farlowella vittata,Peaceful Fish
Farlowella vittata,Small Fish
Farlowella vittata,Very Small Fish
Centromochlus perugiae,Small Fish
Centromochlus perugiae,Peaceful Fish
Centromochlus perugiae,Very Small Fish
Synodontis petricola,Peaceful Fish
Synodontis petricola,Medium-Sized Fish
Corydoras seussi,Small Fish
Corydoras seussi,Peaceful Fish
Corydoras seussi,Medium-Sized Fish
Ancistrus dolichopterus,Small Fish
Ancistrus dolichopterus,Peaceful Fish
Ancistrus dolichopterus,Medium-Sized Fish
Synodontis brichardi,Peaceful Fish
Synodontis brichardi,Medium-Sized Fish
Synodontis brichardi,Medium-Large Fish
Corydoras fowleri,Peaceful Fish
Corydoras fowleri,Medium-Sized Fish
Corydoras fowleri,Small Fish
Corydoras multiradiatus,Peaceful Fish
Corydoras multiradiatus,Small Fish
Corydoras multiradiatus,Medium-Sized Fish
Ancistrus ranunculus,Peaceful Fish
Ancistrus ranunculus,Medium-Sized Fish
Corydoras weitzmani,Small Fish
Corydoras weitzmani,Peaceful Fish
Corydoras weitzmani,Very Small Fish
Corydoras weitzmani,Long-Finned Fish
Corydoras burgessi,Small Fish
Corydoras burgessi,Peaceful Fish
Corydoras burgessi,Medium-Sized Fish
Corydoras burgessi,Long-Finned Fish
Corydoras robustus,Small Fish
Corydoras robustus,Peaceful Fish
Corydoras robustus,Long-Finned Fish
Corydoras robustus,Very Small Fish
Brachygobius doriae,Same Species Only
Badis badis,Peaceful Fish
Badis badis,Small Fish
Acanthophthalmus kuhli,Small Fish
Acanthophthalmus kuhli,Peaceful Fish
Acanthophthalmus kuhli,Long-Finned Fish
Acanthophthalmus kuhli,Very Small Fish
Garra rufa,Small Fish
Garra rufa,Peaceful Fish
Garra rufa,Medium-Sized Fish
Pangio semicincta,Small Fish
Pangio semicincta,Peaceful Fish
Pangio semicincta,Long-Finned Fish
Pangio semicincta,Very Small Fish
Pseudocrenilabrus multicolor,Medium-Sized Fish
Pseudocrenilabrus multicolor,Small Fish
Yunnanilus cruciatus,Small Fish
Yunnanilus cruciatus,Peaceful Fish
Yunnanilus cruciatus,Medium-Sized Fish
Yunnanilus cruciatus,Very Small Fish
Tateurndina ocellicauda,Small Fish
Tateurndina ocellicauda,Peaceful Fish
Tateurndina ocellicauda,Medium-Sized Fish
Chamidogobius eremius,Same Species Only
Chamidogobius eremius,Peaceful Fish
Chamidogobius eremius,Robust Fish
Pantodon buchholzi,Small Fish
Pantodon buchholzi,Peaceful Fish
Marosatherina ladigesi,Small Fish
Marosatherina ladigesi,Peaceful Fish
Marosatherina ladigesi,Very Small Fish
Bedotia madagascarensis,Small Fish
Bedotia madagascarensis,Peaceful Fish
Bedotia madagascarensis,Medium-Sized Fish
Melanotaenia praecox,Small Fish
Melanotaenia praecox,Peaceful Fish
Melanotaenia praecox,Very Small Fish
Pseudomugil furcatus,Small Fish
Pseudomugil furcatus,Peaceful Fish
