Scientific Name,Compatibility Tag
Nannostomus marginatus,Long-Finned Fish
Phenacogrammus aurantiacus,Small Fish
Phenacogrammus aurantiacus,Peaceful Fish
Phenacogrammus aurantiacus,Medium-Sized Fish
Paracheirodon simulans,Peaceful Fish
Paracheirodon simulans,Very Small Fish
Hyphessobrycon amapaensis,Small Fish
Hyphessobrycon amapaensis,Peaceful Fish
Hyphessobrycon loretoensis,Small Fish
Hyphessobrycon loretoensis,Peaceful Fish
Hyphessobrycon loretoensis,Very Small Fish
Chilodus punctatus,Small Fish
Chilodus punctatus,Peaceful Fish
Cheirodon axelrodi,Small Fish
Cheirodon axelrodi,Peaceful Fish
Cheirodon axelrodi,Medium-Sized Fish
Carnegiella marthae,Small Fish
Carnegiella marthae,Peaceful Fish
Carnegiella marthae,Very Small Fish
Carnegiella strigata,Small Fish
Carnegiella strigata,Peaceful Fish
Carnegiella strigata,Very Small Fish
Hyphessobrycon roberti,Small Fish
Hyphessobrycon roberti,Medium-Sized Fish
Hyphessobrycon roberti,Peaceful Fish
Alestopetersius smykalai,Peaceful Fish
Alestopetersius smykalai,Medium-Sized Fish
Alestopetersius smykalai,Small Fish
Hyphessobrycon wadai,Small Fish
Hyphessobrycon wadai,Peaceful Fish
Hyphessobrycon wadai,Medium-Sized Fish
Notropsis chrosomus,Small Fish
Notropsis chrosomus,Peaceful Fish
Crenuchus spilurus,Small Fish
Crenuchus spilurus,Same Species Only
Crenuchus spilurus,Peaceful Fish
Thoracocharax stella,Small Fish
Thoracocharax stella,Peaceful Fish
Hemigrammus rubrostriatus,Small Fish
Hemigrammus rubrostriatus,Peaceful Fish
Hemigrammus rubrostriatus,Medium-Sized Fish
Hyphessobrycon erythrostigma,Small Fish
Hyphessobrycon erythrostigma,Peaceful Fish
Hyphessobrycon erythrostigma,Medium-Sized Fish
Arnoldichthys spilopterus,Small Fish
Arnoldichthys spilopterus,Medium-Sized Fish
Arnoldichthys spilopterus,Active Fish
Nannostomus mortenthaleri,Small Fish
Nannostomus mortenthaleri,Very Small Fish
Nannostomus mortenthaleri,Peaceful Fish
Oryzias latipes,Small Fish
Oryzias latipes,Peaceful Fish
Oryzias latipes,Very Small Fish
Epiplatys grahami,Small Fish
Epiplatys grahami,Peaceful Fish
Aphyosemion cinnamomeum,Small Fish
Aphyosemion cinnamomeum,Peaceful Fish
Aphyosemion marmoratum,Small Fish
Aphyosemion marmoratum,Peaceful Fish
Fundulopanchax scheeli,Small Fish
Fundulopanchax scheeli,Peaceful Fish
Fundulopanchax scheeli,Very Small Fish
Aplocheilichthys normani,Small Fish
Aplocheilichthys normani,Peaceful Fish
Aplocheilichthys normani,Very Small Fish
Aplocheilichthys normani,Long-Finned Fish
Pachypanchax playfairii,Medium-Sized Fish
Pachypanchax playfairii,Same Species Only
Pachypanchax playfairii,Peaceful Fish
Aplocheilus blockii,Peaceful Fish
Aplocheilus blockii,Medium-Sized Fish
Fundulopanchax gardneri,Robust Fish
Fundulopanchax gardneri,Medium-Sized Fish
Aphyosemion gabunense,Small Fish
Aphyosemion gabunense,Peaceful Fish
Aphyosemion gabunense,Long-Finned Fish
Epiplatys dageti,Small Fish
Epiplatys dageti,Peaceful Fish
Epiplatys dageti,Long-Finned Fish
Oryzias dancena,Small Fish
Oryzias dancena,Peaceful Fish
Oryzias dancena,Very Small Fish
Aplocheilus lineatus,Peaceful Fish
Aplocheilus lineatus,Medium-Sized Fish
Oryzias woworae,Small Fish
Oryzias woworae,Very Small Fish
Oryzias woworae,Peaceful Fish
Nothobranchius guentheri,Same Species Only
Fundulopanchax walkeri,Same Species Only
Pachypanchax omalonotus,Same Species Only
Aphyosemion australe,Small Fish
Aphyosemion australe,Peaceful Fish
Aphyosemion australe,Long-Finned Fish
Nothobranchius foerschi,Same Species Only
Fundulopanchax sjoestedti,Medium-Sized Fish
Fundulopanchax sjoestedti,Peaceful Fish
Aphyosemion bivittatum,Same Species Only
Aphyosemion bivittatum,Medium-Sized Fish
Aphyosemion bivittatum,Peaceful Fish
Epiplatys annulatus,Small Fish
Epiplatys annulatus,Peaceful Fish
Epiplatys annulatus,Long-Finned Fish
Epiplatys annulatus,Very Small Fish
Cynolebias nigripinnis,Small Fish
Cynolebias nigripinnis,Peaceful Fish
Simpsonichthys myersi,Same Species Only
Aphyosemion celiae,Same Species Only
Nothobranchius eggersi,Same Species Only
Nothobranchius eggersi,Peaceful Fish
Nothobranchius eggersi,Small Fish
Betta splendens,Same Species Only
Betta splendens,Peaceful Fish
Betta splendens,Small Fish
Betta imbellis,Same Species Only
Betta imbellis,Peaceful Fish
Betta imbellis,Small Fish
Betta simorum,Same Species Only
Betta simorum,Peaceful Fish
Betta simorum,Small Fish
Betta foerschi,Same Species Only
Betta foerschi,Peaceful Fish
Betta foerschi,Small Fish
Trichogaster trichopterus,Peaceful Fish
Trichogaster trichopterus,Medium-Sized Fish
Trichogaster trichopterus,Robust Fish
Trichopsis pumilus,Small Fish
Trichopsis pumilus,Peaceful Fish
Trichogaster leeri,Small Fish
Trichogaster leeri,Peaceful Fish
Trichogaster leeri,Medium-Sized Fish
Trichopsis vittatus,Small Fish
Trichopsis vittatus,Peaceful Fish
Trichopsis vittatus,Very Small Fish
Trichogaster lalius,Small Fish
Trichogaster lalius,Peaceful Fish
Trichogaster labiosa,Small Fish
Trichogaster labiosa,Peaceful Fish
Trichogaster labiosa,Medium-Sized Fish
Trichogaster chuna,Small Fish
Trichogaster chuna,Peaceful Fish
Sphaerichthys selatanensis,Small Fish
Sphaerichthys selatanensis,Peaceful Fish
Trichogaster fasciata,Small Fish
Trichogaster fasciata,Peaceful Fish
Sphaerichthys vaillanti,Small Fish
Sphaerichthys vaillanti,Peaceful Fish
